,accuracy,precision,recall,f1_score,balanced_accuracy,Model,Temperature,Municipality
0,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 8B,0.0,Lucca
1,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 8B,0.01,Lucca
2,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 8B,0.2,Lucca
3,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 8B,0.4,Lucca
4,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 8B,0.5,Lucca
5,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 8B,0.6,Lucca
6,1.0,1.0,1.0,1.0,1.0,llama 3.1 8B,0.8,Lucca
7,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 8B,1.0,Lucca
8,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.2 3B,0.0,Lucca
9,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.2 3B,0.01,Lucca
10,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.2 3B,0.2,Lucca
11,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.2 3B,0.4,Lucca
12,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.2 3B,0.5,Lucca
13,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.2 3B,0.6,Lucca
14,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.2 3B,0.8,Lucca
15,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.2 3B,1.0,Lucca
16,0.0,0.0,0.0,0.0,0.0,llama 3.1 8B,0.0,Olbia
17,0.0,0.0,0.0,0.0,0.0,llama 3.1 8B,0.01,Olbia
18,0.0,0.0,0.0,0.0,0.0,llama 3.1 8B,0.2,Olbia
19,0.0,0.0,0.0,0.0,0.0,llama 3.1 8B,0.4,Olbia
20,0.0,0.0,0.0,0.0,0.0,llama 3.1 8B,0.5,Olbia
21,0.0,0.0,0.0,0.0,0.0,llama 3.1 8B,0.6,Olbia
22,0.0,0.0,0.0,0.0,0.0,llama 3.1 8B,0.8,Olbia
23,0.0,0.0,0.0,0.0,0.0,llama 3.1 8B,1.0,Olbia
24,0.0,0.0,0.0,0.0,0.0,llama 3.2 3B,0.0,Olbia
25,0.0,0.0,0.0,0.0,0.0,llama 3.2 3B,0.01,Olbia
26,0.0,0.0,0.0,0.0,0.0,llama 3.2 3B,0.2,Olbia
27,0.0,0.0,0.0,0.0,0.0,llama 3.2 3B,0.4,Olbia
28,0.0,0.0,0.0,0.0,0.0,llama 3.2 3B,0.5,Olbia
29,0.0,0.0,0.0,0.0,0.0,llama 3.2 3B,0.6,Olbia
30,0.0,0.0,0.0,0.0,0.0,llama 3.2 3B,0.8,Olbia
31,0.0,0.0,0.0,0.0,0.0,llama 3.2 3B,1.0,Olbia
32,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,llama 3.3 70B,0.0,Lucca
33,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,llama 3.3 70B,0.01,Lucca
34,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,llama 3.3 70B,0.2,Lucca
35,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,llama 3.3 70B,0.4,Lucca
36,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,llama 3.3 70B,0.5,Lucca
37,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,llama 3.3 70B,0.6,Lucca
38,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,llama 3.3 70B,0.8,Lucca
39,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,llama 3.3 70B,1.0,Lucca
40,1.0,1.0,1.0,1.0,1.0,chatgpt 4o mini,0.0,Lucca
41,1.0,1.0,1.0,1.0,1.0,chatgpt 4o mini,0.01,Lucca
42,1.0,1.0,1.0,1.0,1.0,chatgpt 4o mini,0.2,Lucca
43,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,chatgpt 4o mini,0.4,Lucca
44,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,chatgpt 4o mini,0.5,Lucca
45,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,chatgpt 4o mini,0.6,Lucca
46,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,chatgpt 4o mini,0.8,Lucca
47,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,chatgpt 4o mini,1.0,Lucca
48,0.0,0.0,0.0,0.0,0.0,chatgpt 4o mini,0.0,Olbia
49,0.0,0.0,0.0,0.0,0.0,chatgpt 4o mini,0.01,Olbia
50,0.0,0.0,0.0,0.0,0.0,chatgpt 4o mini,0.2,Olbia
51,0.0,0.0,0.0,0.0,0.0,chatgpt 4o mini,0.4,Olbia
52,0.0,0.0,0.0,0.0,0.0,chatgpt 4o mini,0.5,Olbia
53,0.0,0.0,0.0,0.0,0.0,chatgpt 4o mini,0.6,Olbia
54,0.0,0.0,0.0,0.0,0.0,chatgpt 4o mini,0.8,Olbia
55,0.0,0.0,0.0,0.0,0.0,chatgpt 4o mini,1.0,Olbia
